country,vsl_gni_cap,vsl,country_code,gni_cap,vsl_160,vsl_100,vsl_extrapolated
Mauritania,1370,236000,MRT,3690,590400,369000,151234
Mauritius,9780,1683000,MUS,19940,3190400,1994000,1899756
Mexico,9710,1671000,MEX,16860,2697600,1686000,1477054
"Micronesia, Fed. Sts.",3560,612000,FSM,4140,662400,414000,179726
Moldova,2240,385000,MDA,5410,865600,541000,268476
Mongolia,3870,666000,MNG,11160,1785600,1116000,795438
Montenegro,7220,1242000,MNE,16690,2670400,1669000,1454771
Morocco,3030,521000,MAR,7620,1219200,762000,448789
Mozambique,590,102000,MOZ,1170,187200,117000,27002
Myanmar,1160,200000,MMR,5160,825600,516000,250083
Namibia,5190,893000,NAM,10560,1689600,1056000,732160
Nauru,15420,2653000,NRU,NA,NA,NA,NA
Nepal,730,126000,NPL,2500,400000,250000,84337
Netherlands,48860,8406000,NLD,NA,NA,NA,NA
New Zealand,40020,6885000,NZL,NA,NA,NA,NA
Nicaragua,1940,334000,NIC,5280,844800,528000,258858
Niger,390,67000,NER,940,150400,94000,19445
Nigeria,2820,485000,NGA,5880,940800,588000,304212
Norway,93740,16126999.999999998,NOR,NA,NA,NA,NA
Oman,16910,2909000,OMN,NA,NA,NA,NA
Pakistan,1440,248000,PAK,5310,849600,531000,261067
Palau,12180,2095000.0000000002,PLW,14230,2276800,1423000,1145295
Panama,11880,2044000,PAN,20210,3233600,2021000,1938472
Papua New Guinea,2240,385000,PNG,4040,646400,404000,173254
Paraguay,4190,721000,PRY,8690,1390400,869000,546562
Peru,6130,1055000,PER,12100,1936000,1210000,898024
Philippines,3550,611000,PHL,8850,1416000,885000,561727
Poland,13340,2295000,POL,NA,NA,NA,NA
Portugal,20530,3532000,PRT,NA,NA,NA,NA
Puerto Rico,19320,3324000,PRI,NA,NA,NA,NA
Qatar,83990,14450000,QAT,NA,NA,NA,NA
Romania,9500,1634000,ROU,21060,3369600,2106000,2062042
Russian Federation,11450,1970000,RUS,24030,3844800,2403000,2513279
Rwanda,700,120000,RWA,1780,284800,178000,50669
Samoa,3930,676000,WSM,5800,928000,580000,298025
São Tomé and Principe,1760,303000,STP,3130,500800,313000,118148
Saudi Arabia,23550,4051999.9999999995,SAU,NA,NA,NA,NA
Senegal,980,169000,SEN,2370,379200,237000,77845
Serbia,5540,953000,SRB,13210,2113600,1321000,1024387
Seychelles,14760,2539000,SYC,NA,NA,NA,NA
Sierra Leone,620,107000,SLE,1380,220800,138000,34588
Singapore,52090,8962000,SGP,NA,NA,NA,NA
Slovak Republic,17570,3023000,SVK,NA,NA,NA,NA
Slovenia,22190,3818000,SVN,NA,NA,NA,NA
Solomon Islands,1920,330000,SLB,2170,347200,217000,68202
South Africa,6080,1046000,ZAF,12840,2054400,1284000,981652
South Sudan,790,136000,SSD,1700,272000,170000,47292
Spain,28530,4908000,ESP,NA,NA,NA,NA
Sri Lanka,3800,654000,LKA,11620,1859200,1162000,845122
St. Kitts and Nevis,15060,2591000,KNA,NA,NA,NA,NA
St. Lucia,7350,1265000,LCA,11870,1899200,1187000,872541
St. Vincent,6630,1141000,VCT,NA,NA,NA,NA
Sudan,1920,330000,SDN,4150,664000,415000,180377
Suriname,9360,1610000,SUR,15640,2502400,1564000,1319669
Swaziland,3280,564000,SWZ,8340,1334400,834000,513877
Sweden,57920,9965000,SWE,NA,NA,NA,NA
Switzerland,84630,14560000,CHE,NA,NA,NA,NA
Tajikistan,1280,220000,TJK,3360,537600,336000,131407
Tanzania,920,158000,TZA,2610,417600,261000,89964
Thailand,5720,984000,THA,15380,2460800,1538000,1286899
Timor-Leste,2180,375000,TLS,3690,590400,369000,151234
Tonga,4280,736000,TON,5580,892800,558000,281230
Togo,540,93000,TGO,1300,208000,130000,31625
Trinidad and Tobago,17640,3035000,TTO,NA,NA,NA,NA
Tunisia,3980,685000,TUN,11090,1774400,1109000,787966
Turkey,9950,1712000,TUR,24570,3931200,2457000,2598470
Turkmenistan,7380,1270000,TKM,15220,2435200,1522000,1266870
Tuvalu,6230,1072000,TUV,6030,964800,603000,315926
Uganda,700,120000,UGA,1740,278400,174000,48970
Ukraine,2640,454000,UKR,7850,1256000,785000,469261
United Arab Emirates,43090,7413000,ARE,NA,NA,NA,NA
United Kingdom,43390,7465000,GBR,NA,NA,NA,NA
United States,55980,9631000,USA,NA,NA,NA,NA
Uruguay,15720,2705000,URY,NA,NA,NA,NA
Uzbekistan,2160,372000,UZB,6200,992000,620000,329380
Vanuatu,3170,545000,VUT,NA,NA,NA,NA
Vietnam,1990,342000,VNM,5610,897600,561000,283501
West Bank and Gaza,3090,532000,PSE,5700,912000,570000,290350
"Yemen, Rep.",1140,196000,YEM,2710,433600,271000,95184
Zambia,1490,256000,ZMB,3800,608000,380000,158047
Zimbabwe,860,148000,ZWE,1790,286400,179000,51096
