"","","2016","2016","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2000","2000"
"Indicator","Age Group"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"
"nMx - age-specific death rate between ages x and x+n"," 75-79 years","0.054","0.035","0.055","0.036","0.056","0.037","0.057","0.037","0.058","0.039","0.059","0.04","0.061","0.039","0.062","0.039","0.065","0.041","0.064","0.042","0.065","0.041","0.067","0.045","0.067","0.045","0.069","0.047","0.063","0.045","0.066","0.047","0.066","0.045"
"nMx - age-specific death rate between ages x and x+n"," 80-84 years","0.109","0.071","0.109","0.072","0.108","0.072","0.103","0.07","0.107","0.071","0.109","0.075","0.11","0.074","0.098","0.068","0.102","0.07","0.098","0.069","0.098","0.07","0.101","0.072","0.1","0.074","0.103","0.078","0.093","0.072","0.1","0.078","0.1","0.076"
"nMx - age-specific death rate between ages x and x+n"," 85+ years","0.191","0.131","0.19","0.131","0.188","0.131","0.181","0.129","0.186","0.13","0.189","0.135","0.19","0.133","0.172","0.126","0.177","0.129","0.171","0.127","0.17","0.127","0.172","0.128","0.169","0.129","0.171","0.134","0.157","0.126","0.166","0.133","0.164","0.13"
"nqx - probability of dying between ages x and x+n"," &lt;1 year","0.015","0.013","0.016","0.013","0.016","0.013","0.016","0.013","0.016","0.013","0.016","0.013","0.016","0.013","0.016","0.013","0.016","0.013","0.016","0.013","0.017","0.014","0.017","0.014","0.018","0.015","0.018","0.015","0.019","0.016","0.019","0.016","0.02","0.016"
"nqx - probability of dying between ages x and x+n"," 1-4 years","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.002","0.002","0.003","0.002","0.002","0.002","0.003","0.002","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003"
"nqx - probability of dying between ages x and x+n"," 5-9 years","0.001","0.001","0.001","0.001","0.001","0.001","0.002","0.001","0.001","0.001","0.002","0.001","0.002","0.001","0.002","0.002","0.002","0.001","0.002","0.001","0.002","0.001","0.002","0.001","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.002"
"nqx - probability of dying between ages x and x+n"," 10-14 years","0.002","0.001","0.002","0.001","0.002","0.001","0.002","0.001","0.002","0.002","0.002","0.002","0.002","0.001","0.002","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002"
"nqx - probability of dying between ages x and x+n"," 15-19  years","0.018","0.003","0.018","0.003","0.018","0.003","0.017","0.003","0.018","0.003","0.016","0.003","0.016","0.003","0.017","0.003","0.017","0.003","0.015","0.003","0.014","0.003","0.013","0.003","0.014","0.003","0.016","0.003","0.014","0.004","0.013","0.003","0.013","0.003"
"nqx - probability of dying between ages x and x+n"," 20-24 years","0.026","0.003","0.026","0.003","0.026","0.003","0.026","0.004","0.026","0.004","0.023","0.003","0.023","0.004","0.026","0.004","0.027","0.004","0.026","0.004","0.023","0.004","0.021","0.004","0.024","0.004","0.028","0.005","0.025","0.005","0.022","0.004","0.023","0.004"
"nqx - probability of dying between ages x and x+n"," 25-29 years","0.022","0.004","0.022","0.004","0.022","0.004","0.022","0.004","0.023","0.004","0.021","0.004","0.023","0.005","0.025","0.005","0.026","0.005","0.025","0.004","0.023","0.005","0.021","0.004","0.022","0.005","0.025","0.005","0.021","0.006","0.021","0.005","0.021","0.005"
